number,title,state,created_at,closed_at,comments,author_association,pull_request,duration_days,is_merged,month_year
63364,Replace ``ensure_clean_store`` instances with ``temp_file`` in `test_store.py`,closed,2025-12-15 00:17:38+00:00,2025-12-26 18:45:53+00:00,2,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63364', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63364', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63364.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63364.patch', 'merged_at': None}",11,0,2025-12
63362,Explaination on how to load data in Google Colab added,closed,2025-12-14 17:34:34+00:00,2025-12-28 19:20:12+00:00,1,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63362', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63362', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63362.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63362.patch', 'merged_at': None}",14,0,2025-12
63361,DOC: add Google Colab section to IO user guide,closed,2025-12-14 13:50:34+00:00,2025-12-14 20:31:50+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63361', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63361', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63361.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63361.patch', 'merged_at': None}",0,0,2025-12
63360,DOC: add note to 3.0.0 whatsnew about removed deprecations,closed,2025-12-14 13:38:17+00:00,2025-12-14 18:02:18+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63360', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63360', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63360.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63360.patch', 'merged_at': '2025-12-14T18:02:18Z'}",0,1,2025-12
63359,DOC: clarify migration guide for users of existing string dtypes,closed,2025-12-14 13:29:27+00:00,2025-12-14 15:31:58+00:00,2,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63359', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63359', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63359.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63359.patch', 'merged_at': '2025-12-14T15:31:58Z'}",0,1,2025-12
63358,Replace @Appender @doc @Substitution in pandas/core/groupby/generic.py,closed,2025-12-14 12:43:10+00:00,2025-12-15 21:49:03+00:00,2,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63358', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63358', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63358.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63358.patch', 'merged_at': '2025-12-15T21:49:03Z'}",1,1,2025-12
63356,replaced all Appender、Substitution、doc decorators in pandas/pandas/core/frame.py.,closed,2025-12-14 06:18:52+00:00,2025-12-14 10:33:26+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63356', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63356', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63356.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63356.patch', 'merged_at': None}",0,0,2025-12
63352,DOC: add Google Colab data loading section,closed,2025-12-13 16:26:29+00:00,2025-12-13 18:36:16+00:00,0,NONE,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63352', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63352', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63352.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63352.patch', 'merged_at': None}",0,0,2025-12
63350,STY: Add strict parameter to zip() in pandas/core/reshape/concat,closed,2025-12-13 10:07:35+00:00,2025-12-14 22:37:03+00:00,1,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63350', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63350', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63350.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63350.patch', 'merged_at': '2025-12-14T22:37:03Z'}",1,1,2025-12
63348,WEB: add pandas 3.0 release candidate announcement blog,closed,2025-12-12 17:15:12+00:00,2025-12-16 09:10:31+00:00,0,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63348', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63348', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63348.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63348.patch', 'merged_at': '2025-12-16T09:10:31Z'}",3,1,2025-12
63347,"API: to_datetime(ints, unit) give requested unit",closed,2025-12-12 16:44:18+00:00,2025-12-22 13:02:33+00:00,1,MEMBER,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63347', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63347', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63347.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63347.patch', 'merged_at': '2025-12-22T13:02:33Z'}",9,1,2025-12
63346,DOC: clarify loc slice step behavior with example closes #63311,closed,2025-12-12 13:42:45+00:00,2025-12-14 18:12:19+00:00,2,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63346', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63346', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63346.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63346.patch', 'merged_at': '2025-12-14T18:12:19Z'}",2,1,2025-12
63345,REF: Add comprehensive tests for Series indexing and slicing behavior,closed,2025-12-12 13:09:33+00:00,2025-12-12 13:20:56+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63345', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63345', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63345.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63345.patch', 'merged_at': None}",0,0,2025-12
63344,Doc/add google colab section,closed,2025-12-12 13:00:48+00:00,2025-12-12 13:02:38+00:00,0,CONTRIBUTOR,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/pulls/63344', 'html_url': 'https://github.com/pandas-dev/pandas/pull/63344', 'diff_url': 'https://github.com/pandas-dev/pandas/pull/63344.diff', 'patch_url': 'https://github.com/pandas-dev/pandas/pull/63344.patch', 'merged_at': None}",0,0,2025-12
